hour,direct_count,registered_count,total_count,date,hour_of_day,day_of_week,month,is_weekend,conditions,temperature_c,humidity,windspeed_kmh,is_holiday,is_workday
2011-01-01 00:00:00,3,13,16,2011-01-01,0,5,1,1,clear,3.3,81.0,0.0,0,0
2011-01-01 01:00:00,8,32,40,2011-01-01,1,5,1,1,clear,2.3,80.0,0.0,0,0
2011-01-01 02:00:00,5,27,32,2011-01-01,2,5,1,1,clear,2.3,80.0,0.0,0,0
2011-01-01 03:00:00,3,10,13,2011-01-01,3,5,1,1,clear,3.3,75.0,0.0,0,0
2011-01-01 04:00:00,0,1,1,2011-01-01,4,5,1,1,clear,3.3,75.0,0.0,0,0
2011-01-01 05:00:00,0,1,1,2011-01-01,5,5,1,1,clouds,3.3,75.0,6.0,0,0
2011-01-01 06:00:00,2,0,2,2011-01-01,6,5,1,1,clear,2.3,80.0,0.0,0,0
2011-01-01 07:00:00,1,2,3,2011-01-01,7,5,1,1,clear,1.4,86.0,0.0,0,0
2011-01-01 08:00:00,1,7,8,2011-01-01,8,5,1,1,clear,3.3,75.0,0.0,0,0
2011-01-01 09:00:00,8,6,14,2011-01-01,9,5,1,1,clear,7.0,76.0,0.0,0,0
2011-01-01 10:00:00,12,24,36,2011-01-01,10,5,1,1,clear,9.9,76.0,17.0,0,0
2011-01-01 11:00:00,26,30,56,2011-01-01,11,5,1,1,clear,8.9,81.0,19.0,0,0
2011-01-01 12:00:00,29,55,84,2011-01-01,12,5,1,1,clear,11.7,77.0,19.0,0,0
2011-01-01 13:00:00,47,47,94,2011-01-01,13,5,1,1,clouds,13.6,72.0,20.0,0,0
2011-01-01 14:00:00,35,71,106,2011-01-01,14,5,1,1,clouds,13.6,72.0,19.0,0,0
2011-01-01 15:00:00,40,70,110,2011-01-01,15,5,1,1,clouds,12.7,77.0,20.0,0,0
2011-01-01 16:00:00,41,52,93,2011-01-01,16,5,1,1,clouds,11.7,82.0,20.0,0,0
2011-01-01 17:00:00,15,52,67,2011-01-01,17,5,1,1,clouds,12.7,82.0,19.0,0,0
2011-01-01 18:00:00,9,26,35,2011-01-01,18,5,1,1,light_rain,11.7,88.0,17.0,0,0
2011-01-01 19:00:00,6,31,37,2011-01-01,19,5,1,1,light_rain,11.7,88.0,17.0,0,0
2011-01-01 20:00:00,11,25,36,2011-01-01,20,5,1,1,clouds,10.8,87.0,17.0,0,0
2011-01-01 21:00:00,3,31,34,2011-01-01,21,5,1,1,clouds,10.8,87.0,13.0,0,0
2011-01-01 22:00:00,11,17,28,2011-01-01,22,5,1,1,clouds,10.8,94.0,15.0,0,0
2011-01-01 23:00:00,15,24,39,2011-01-01,23,5,1,1,clouds,13.6,88.0,20.0,0,0
2011-01-02 00:00:00,4,13,17,2011-01-02,0,6,1,1,clouds,13.6,88.0,20.0,0,0
2011-01-02 01:00:00,1,16,17,2011-01-02,1,6,1,1,clouds,12.7,94.0,17.0,0,0
