hour,temperature_c,humidity,windspeed_kmh,is_weekend,is_holiday,is_workday,rush_hour,was_missing_hour,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,total_lag_24h,total_lag_7d,total_24h_mean,total_7d_mean,same_hour_weekday_4w_mean,conditions,season,total_count
2011-01-08 00:00:00,0.5,51.0,11.0,1,0,0,0,0,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,17.0,16.0,63.19158496732026,56.29661274711342,16.0,clouds,winter,25.0
2011-01-08 01:00:00,0.5,55.0,6.0,1,0,0,0,0,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.0,1.0,7.0,40.0,63.52491830065359,56.350184175684845,40.0,clouds,winter,16.0
2011-01-08 02:00:00,0.5,55.0,0.0,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.0,1.0,1.0,32.0,63.89991830065359,56.207327032827706,32.0,clouds,winter,16.0
2011-01-08 03:00:00,0.5,55.0,11.0,1,0,0,0,0,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0.0,1.0,6.598039215686274,13.0,64.5249183006536,56.11208893758961,13.0,light_rain,winter,7.0
2011-01-08 04:00:00,0.5,55.0,11.0,1,0,0,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.0,1.0,1.0,1.0,64.54166666666667,56.07637465187533,1.0,light_rain,winter,1.0
2011-01-08 05:00:00,-0.5,74.0,11.0,1,0,0,0,0,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0.0,1.0,5.0,1.0,64.54166666666667,56.07637465187533,1.0,clouds,winter,5.0
2011-01-08 06:00:00,-0.5,74.0,11.0,1,0,0,0,0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.0,1.0,34.0,2.0,64.54166666666667,56.100184175684845,2.0,clouds,winter,2.0
2011-01-08 07:00:00,-0.5,74.0,7.0,1,0,0,1,0,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.0,1.0,84.0,3.0,63.208333333333336,56.100184175684845,3.0,clouds,winter,9.0
2011-01-08 08:00:00,-0.5,93.0,7.0,1,0,0,1,0,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,0.0,1.0,210.0,8.0,60.083333333333336,56.13589846139913,8.0,light_rain,winter,15.0
2011-01-08 09:00:00,-0.5,93.0,7.0,1,0,0,1,0,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0.0,1.0,134.0,14.0,51.958333333333336,56.1775651280658,14.0,light_rain,winter,20.0
2011-01-08 10:00:00,0.5,80.0,11.0,1,0,0,0,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.0,1.0,63.0,36.0,47.208333333333336,56.213279413780086,36.0,clouds,winter,61.0
2011-01-08 11:00:00,1.4,69.0,26.0,1,0,0,0,0,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,0.0,1.0,67.0,56.0,47.125,56.36208893758961,56.0,clouds,winter,62.0
2011-01-08 12:00:00,1.4,59.0,24.0,1,0,0,0,0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,59.0,84.0,46.916666666666664,56.397803223303896,84.0,clouds,winter,98.0
2011-01-08 13:00:00,1.4,44.0,22.0,1,0,0,0,0,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.0,1.0,73.0,94.0,48.541666666666664,56.481136556637225,94.0,clear,winter,102.0
