hour,date,hour_of_day,day_of_week,month,is_weekend,temperature_c,humidity,windspeed_kmh,conditions,registered_count,direct_count,total_count,holiday,is_holiday,is_workday
2011-01-01 00:00:00,2011-01-01,0,5,1,1,3.3,81.0,0.0,clear,13,3,16,,0,0
2011-01-01 01:00:00,2011-01-01,1,5,1,1,2.3,80.0,0.0,clear,32,8,40,,0,0
2011-01-01 02:00:00,2011-01-01,2,5,1,1,2.3,80.0,0.0,clear,27,5,32,,0,0
2011-01-01 03:00:00,2011-01-01,3,5,1,1,3.3,75.0,0.0,clear,10,3,13,,0,0
2011-01-01 04:00:00,2011-01-01,4,5,1,1,3.3,75.0,0.0,clear,1,0,1,,0,0
2011-01-01 05:00:00,2011-01-01,5,5,1,1,3.3,75.0,6.0,clouds,1,0,1,,0,0
2011-01-01 06:00:00,2011-01-01,6,5,1,1,2.3,80.0,0.0,clear,0,2,2,,0,0
2011-01-01 07:00:00,2011-01-01,7,5,1,1,1.4,86.0,0.0,clear,2,1,3,,0,0
2011-01-01 08:00:00,2011-01-01,8,5,1,1,3.3,75.0,0.0,clear,7,1,8,,0,0
2011-01-01 09:00:00,2011-01-01,9,5,1,1,7.0,76.0,0.0,clear,6,8,14,,0,0
2011-01-01 10:00:00,2011-01-01,10,5,1,1,9.9,76.0,17.0,clear,24,12,36,,0,0
2011-01-01 11:00:00,2011-01-01,11,5,1,1,8.9,81.0,19.0,clear,30,26,56,,0,0
2011-01-01 12:00:00,2011-01-01,12,5,1,1,11.7,77.0,19.0,clear,55,29,84,,0,0
2011-01-01 13:00:00,2011-01-01,13,5,1,1,13.6,72.0,20.0,clouds,47,47,94,,0,0
2011-01-01 14:00:00,2011-01-01,14,5,1,1,13.6,72.0,19.0,clouds,71,35,106,,0,0
2011-01-01 15:00:00,2011-01-01,15,5,1,1,12.7,77.0,20.0,clouds,70,40,110,,0,0
2011-01-01 16:00:00,2011-01-01,16,5,1,1,11.7,82.0,20.0,clouds,52,41,93,,0,0
2011-01-01 17:00:00,2011-01-01,17,5,1,1,12.7,82.0,19.0,clouds,52,15,67,,0,0
2011-01-01 18:00:00,2011-01-01,18,5,1,1,11.7,88.0,17.0,light_rain,26,9,35,,0,0
2011-01-01 19:00:00,2011-01-01,19,5,1,1,11.7,88.0,17.0,light_rain,31,6,37,,0,0
2011-01-01 20:00:00,2011-01-01,20,5,1,1,10.8,87.0,17.0,clouds,25,11,36,,0,0
2011-01-01 21:00:00,2011-01-01,21,5,1,1,10.8,87.0,13.0,clouds,31,3,34,,0,0
2011-01-01 22:00:00,2011-01-01,22,5,1,1,10.8,94.0,15.0,clouds,17,11,28,,0,0
2011-01-01 23:00:00,2011-01-01,23,5,1,1,13.6,88.0,20.0,clouds,24,15,39,,0,0
2011-01-02 00:00:00,2011-01-02,0,6,1,1,13.6,88.0,20.0,clouds,13,4,17,,0,0
2011-01-02 01:00:00,2011-01-02,1,6,1,1,12.7,94.0,17.0,clouds,16,1,17,,0,0
2011-01-02 02:00:00,2011-01-02,2,6,1,1,11.7,100.0,19.0,clouds,8,1,9,,0,0
2011-01-02 03:00:00,2011-01-02,3,6,1,1,13.6,94.0,13.0,clouds,4,2,6,,0,0
2011-01-02 04:00:00,2011-01-02,4,6,1,1,13.6,94.0,13.0,clouds,1,2,3,,0,0
2011-01-02 06:00:00,2011-01-02,6,6,1,1,11.7,77.0,20.0,light_rain,2,0,2,,0,0
2011-01-02 07:00:00,2011-01-02,7,6,1,1,10.8,76.0,13.0,clouds,1,0,1,,0,0
2011-01-02 08:00:00,2011-01-02,8,6,1,1,10.8,71.0,15.0,light_rain,8,0,8,,0,0
2011-01-02 09:00:00,2011-01-02,9,6,1,1,9.9,76.0,15.0,clouds,19,1,20,,0,0
2011-01-02 10:00:00,2011-01-02,10,6,1,1,8.9,81.0,15.0,clouds,46,7,53,,0,0
2011-01-02 11:00:00,2011-01-02,11,6,1,1,8.9,71.0,17.0,clouds,54,16,70,,0,0
2011-01-02 12:00:00,2011-01-02,12,6,1,1,8.9,66.0,20.0,clouds,73,20,93,,0,0
2011-01-02 13:00:00,2011-01-02,13,6,1,1,8.9,66.0,9.0,clouds,64,11,75,,0,0
2011-01-02 14:00:00,2011-01-02,14,6,1,1,8.9,76.0,13.0,light_rain,55,4,59,,0,0
2011-01-02 15:00:00,2011-01-02,15,6,1,1,8.0,81.0,11.0,light_rain,55,19,74,,0,0
2011-01-02 16:00:00,2011-01-02,16,6,1,1,8.0,71.0,11.0,light_rain,67,9,76,,0,0
2011-01-02 17:00:00,2011-01-02,17,6,1,1,8.0,57.0,13.0,clear,58,7,65,,0,0
2011-01-02 18:00:00,2011-01-02,18,6,1,1,8.9,46.0,22.0,clouds,43,10,53,,0,0
2011-01-02 19:00:00,2011-01-02,19,6,1,1,7.0,42.0,30.0,clear,29,1,30,,0,0
2011-01-02 20:00:00,2011-01-02,20,6,1,1,6.1,39.0,24.0,clear,17,5,22,,0,0
2011-01-02 21:00:00,2011-01-02,21,6,1,1,4.2,44.0,22.0,clear,20,11,31,,0,0
2011-01-02 22:00:00,2011-01-02,22,6,1,1,3.3,44.0,20.0,clear,9,0,9,,0,0
2011-01-02 23:00:00,2011-01-02,23,6,1,1,2.3,47.0,11.0,clear,8,0,8,,0,0
2011-01-03 00:00:00,2011-01-03,0,0,1,0,2.3,44.0,24.0,clear,5,0,5,,0,1
2011-01-03 01:00:00,2011-01-03,1,0,1,0,1.4,44.0,28.0,clear,2,0,2,,0,1
2011-01-03 04:00:00,2011-01-03,4,0,1,0,-0.5,47.0,26.0,clear,1,0,1,,0,1
2011-01-03 05:00:00,2011-01-03,5,0,1,0,-0.5,47.0,19.0,clear,3,0,3,,0,1
2011-01-03 06:00:00,2011-01-03,6,0,1,0,-1.4,50.0,26.0,clear,30,0,30,,0,1
2011-01-03 07:00:00,2011-01-03,7,0,1,0,-1.4,50.0,13.0,clear,63,1,64,,0,1
2011-01-03 08:00:00,2011-01-03,8,0,1,0,-1.4,50.0,19.0,clear,153,1,154,,0,1
2011-01-03 09:00:00,2011-01-03,9,0,1,0,-0.5,43.0,26.0,clear,81,7,88,,0,1
2011-01-03 10:00:00,2011-01-03,10,0,1,0,0.5,43.0,17.0,clear,33,11,44,,0,1
2011-01-03 11:00:00,2011-01-03,11,0,1,0,1.4,40.0,22.0,clear,41,10,51,,0,1
2011-01-03 12:00:00,2011-01-03,12,0,1,0,2.3,35.0,20.0,clear,48,13,61,,0,1
2011-01-03 13:00:00,2011-01-03,13,0,1,0,3.3,35.0,19.0,clear,53,8,61,,0,1
2011-01-03 14:00:00,2011-01-03,14,0,1,0,4.2,30.0,19.0,clear,66,11,77,,0,1
2011-01-03 15:00:00,2011-01-03,15,0,1,0,4.2,30.0,17.0,clear,58,14,72,,0,1
2011-01-03 16:00:00,2011-01-03,16,0,1,0,4.2,30.0,17.0,clear,67,9,76,,0,1
2011-01-03 17:00:00,2011-01-03,17,0,1,0,3.3,30.0,15.0,clear,146,11,157,,0,1
2011-01-03 18:00:00,2011-01-03,18,0,1,0,3.3,32.0,7.0,clear,148,9,157,,0,1
2011-01-03 19:00:00,2011-01-03,19,0,1,0,1.4,47.0,0.0,clear,102,8,110,,0,1
2011-01-03 20:00:00,2011-01-03,20,0,1,0,1.4,47.0,7.0,clear,49,3,52,,0,1
2011-01-03 21:00:00,2011-01-03,21,0,1,0,0.5,64.0,9.0,clear,49,3,52,,0,1
2011-01-03 22:00:00,2011-01-03,22,0,1,0,-1.4,69.0,9.0,clear,20,0,20,,0,1
2011-01-03 23:00:00,2011-01-03,23,0,1,0,0.5,55.0,7.0,clear,11,1,12,,0,1
2011-01-04 00:00:00,2011-01-04,0,1,1,0,-0.5,55.0,7.0,clear,5,0,5,,0,1
2011-01-04 01:00:00,2011-01-04,1,1,1,0,-0.5,59.0,7.0,clear,2,0,2,,0,1
2011-01-04 02:00:00,2011-01-04,2,1,1,0,-1.4,63.0,9.0,clear,1,0,1,,0,1
2011-01-04 04:00:00,2011-01-04,4,1,1,0,-1.4,63.0,6.0,clear,2,0,2,,0,1
2011-01-04 05:00:00,2011-01-04,5,1,1,0,-2.4,68.0,7.0,clear,4,0,4,,0,1
2011-01-04 06:00:00,2011-01-04,6,1,1,0,-2.4,74.0,7.0,clear,36,0,36,,0,1
2011-01-04 07:00:00,2011-01-04,7,1,1,0,-2.4,74.0,9.0,clear,92,2,94,,0,1
2011-01-04 08:00:00,2011-01-04,8,1,1,0,-1.4,69.0,11.0,clear,177,2,179,,0,1
2011-01-04 09:00:00,2011-01-04,9,1,1,0,-0.5,64.0,15.0,clear,98,2,100,,0,1
2011-01-04 10:00:00,2011-01-04,10,1,1,0,-0.5,69.0,22.0,clouds,37,5,42,,0,1
2011-01-04 11:00:00,2011-01-04,11,1,1,0,2.3,51.0,20.0,clear,50,7,57,,0,1
2011-01-04 12:00:00,2011-01-04,12,1,1,0,2.3,51.0,11.0,clear,66,12,78,,0,1
2011-01-04 13:00:00,2011-01-04,13,1,1,0,3.3,56.0,13.0,clear,79,18,97,,0,1
2011-01-04 14:00:00,2011-01-04,14,1,1,0,4.2,52.0,15.0,clear,54,9,63,,0,1
2011-01-04 15:00:00,2011-01-04,15,1,1,0,5.2,52.0,17.0,clear,48,17,65,,0,1
2011-01-04 16:00:00,2011-01-04,16,1,1,0,6.1,49.0,17.0,clear,68,15,83,,0,1
2011-01-04 17:00:00,2011-01-04,17,1,1,0,5.2,48.0,15.0,clear,202,10,212,,0,1
2011-01-04 18:00:00,2011-01-04,18,1,1,0,4.2,48.0,13.0,clear,179,3,182,,0,1
2011-01-04 19:00:00,2011-01-04,19,1,1,0,3.3,48.0,7.0,clear,110,2,112,,0,1
2011-01-04 20:00:00,2011-01-04,20,1,1,0,3.3,48.0,7.0,clear,53,1,54,,0,1
2011-01-04 21:00:00,2011-01-04,21,1,1,0,2.3,64.0,0.0,clear,48,0,48,,0,1
2011-01-04 22:00:00,2011-01-04,22,1,1,0,2.3,64.0,6.0,clear,34,1,35,,0,1
