hour,registered_count,direct_count,total_count,missing_rental,date,hour_of_day,day_of_week,month,is_weekend,conditions,temperature_c,perceived_temperature_c,humidity,windspeed_kmh,missing_weather,is_holiday
2011-01-01 00:00:00,13,3,16,0,2011-01-01,0,5,1,1,clear,3.3,3.0,81.0,0.0,0,0
2011-01-01 01:00:00,32,8,40,0,2011-01-01,1,5,1,1,clear,2.3,2.0,80.0,0.0,0,0
2011-01-01 02:00:00,27,5,32,0,2011-01-01,2,5,1,1,clear,2.3,2.0,80.0,0.0,0,0
2011-01-01 03:00:00,10,3,13,0,2011-01-01,3,5,1,1,clear,3.3,3.0,75.0,0.0,0,0
2011-01-01 04:00:00,1,0,1,0,2011-01-01,4,5,1,1,clear,3.3,3.0,75.0,0.0,0,0
2011-01-01 05:00:00,1,0,1,0,2011-01-01,5,5,1,1,clouds,3.3,1.0,75.0,6.0,0,0
2011-01-01 06:00:00,0,2,2,0,2011-01-01,6,5,1,1,clear,2.3,2.0,80.0,0.0,0,0
2011-01-01 07:00:00,2,1,3,0,2011-01-01,7,5,1,1,clear,1.4,1.0,86.0,0.0,0,0
2011-01-01 08:00:00,7,1,8,0,2011-01-01,8,5,1,1,clear,3.3,3.0,75.0,0.0,0,0
2011-01-01 09:00:00,6,8,14,0,2011-01-01,9,5,1,1,clear,7.0,7.0,76.0,0.0,0,0
2011-01-01 10:00:00,24,12,36,0,2011-01-01,10,5,1,1,clear,9.9,10.0,76.0,17.0,0,0
2011-01-01 11:00:00,30,26,56,0,2011-01-01,11,5,1,1,clear,8.9,6.0,81.0,19.0,0,0
2011-01-01 12:00:00,55,29,84,0,2011-01-01,12,5,1,1,clear,11.7,12.0,77.0,19.0,0,0
2011-01-01 13:00:00,47,47,94,0,2011-01-01,13,5,1,1,clouds,13.6,14.0,72.0,20.0,0,0
2011-01-01 14:00:00,71,35,106,0,2011-01-01,14,5,1,1,clouds,13.6,14.0,72.0,19.0,0,0
2011-01-01 15:00:00,70,40,110,0,2011-01-01,15,5,1,1,clouds,12.7,13.0,77.0,20.0,0,0
2011-01-01 16:00:00,52,41,93,0,2011-01-01,16,5,1,1,clouds,11.7,12.0,82.0,20.0,0,0
2011-01-01 17:00:00,52,15,67,0,2011-01-01,17,5,1,1,clouds,12.7,13.0,82.0,19.0,0,0
2011-01-01 18:00:00,26,9,35,0,2011-01-01,18,5,1,1,light_rain,11.7,12.0,88.0,17.0,0,0
2011-01-01 19:00:00,31,6,37,0,2011-01-01,19,5,1,1,light_rain,11.7,12.0,88.0,17.0,0,0
2011-01-01 20:00:00,25,11,36,0,2011-01-01,20,5,1,1,clouds,10.8,11.0,87.0,17.0,0,0
2011-01-01 21:00:00,31,3,34,0,2011-01-01,21,5,1,1,clouds,10.8,11.0,87.0,13.0,0,0
2011-01-01 22:00:00,17,11,28,0,2011-01-01,22,5,1,1,clouds,10.8,11.0,94.0,15.0,0,0
2011-01-01 23:00:00,24,15,39,0,2011-01-01,23,5,1,1,clouds,13.6,14.0,88.0,20.0,0,0
2011-01-02 00:00:00,13,4,17,0,2011-01-02,0,6,1,1,clouds,13.6,14.0,88.0,20.0,0,0
2011-01-02 01:00:00,16,1,17,0,2011-01-02,1,6,1,1,clouds,12.7,13.0,94.0,17.0,0,0
